"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","296-96","ES-CHC077","Eli4","Eli5","Eli6","F3201","JUNP353","R26"
"rpmD","","Large ribosomal subunit protein uL30","8","8","1","1","6004","","","","179","179","179","NLLKMJFC_01505","HDAOFKCF_01507","HMFJPACF_01607","EPEFIPDD_01550","MPDNCGJB_01553","PEKAAFEB_01200","IEBEDNFC_01491","OGHJCHFL_01955"
"fadF_1","","putative iron-sulfur-binding oxidoreductase FadF","8","8","1","1","5808","","","","785","785","785","NLLKMJFC_01753","HDAOFKCF_01755","HMFJPACF_01794","EPEFIPDD_01782","MPDNCGJB_01784","PEKAAFEB_01382","IEBEDNFC_01747","OGHJCHFL_02148"
"hemE","","Uroporphyrinogen decarboxylase","8","8","1","1","5689","","","","1025","1025","1025","NLLKMJFC_01865","HDAOFKCF_01867","HMFJPACF_01951","EPEFIPDD_01895","MPDNCGJB_01897","PEKAAFEB_01496","IEBEDNFC_01863","OGHJCHFL_02262"
"group_5008","","tRNA-Ser(gga)","8","8","1","1","491","","","","88","88","88","NLLKMJFC_01066","HDAOFKCF_01069","HMFJPACF_01110","EPEFIPDD_01127","MPDNCGJB_01130","PEKAAFEB_00777","IEBEDNFC_00989","OGHJCHFL_01529"
"group_5009","","hypothetical protein","8","8","1","1","599","","","","308","308","308","NLLKMJFC_00970","HDAOFKCF_00973","HMFJPACF_01011","EPEFIPDD_01028","MPDNCGJB_01032","PEKAAFEB_00679","IEBEDNFC_00892","OGHJCHFL_01430"
"group_501","","hypothetical protein","8","8","1","1","5326","","","","428","428","428","NLLKMJFC_00303","HDAOFKCF_00304","HMFJPACF_00287","EPEFIPDD_00288","MPDNCGJB_00290","PEKAAFEB_03858","IEBEDNFC_00284","OGHJCHFL_00754"
"rqcP","","RQC P-site tRNA stabilizing factor","8","8","1","1","1803","","","","449","449","449","NLLKMJFC_02543","HDAOFKCF_02545","HMFJPACF_02682","EPEFIPDD_02628","MPDNCGJB_02629","PEKAAFEB_02216","IEBEDNFC_02662","OGHJCHFL_02974"
"map","","Methionine aminopeptidase 1","8","8","1","1","5202","","","","809","809","809","NLLKMJFC_00186","HDAOFKCF_00187","HMFJPACF_00169","EPEFIPDD_00170","MPDNCGJB_00171","PEKAAFEB_03739","IEBEDNFC_00170","OGHJCHFL_00634"
"group_5012","","hypothetical protein","8","8","1","1","3581","","","","212","212","212","NLLKMJFC_03383","HDAOFKCF_03437","HMFJPACF_03552","EPEFIPDD_03529","MPDNCGJB_03530","PEKAAFEB_03168","IEBEDNFC_03627","OGHJCHFL_00069"
"group_5013","","hypothetical protein","8","8","1","1","5815","","","","470","470","470","NLLKMJFC_01748","HDAOFKCF_01750","HMFJPACF_01789","EPEFIPDD_01777","MPDNCGJB_01779","PEKAAFEB_01377","IEBEDNFC_01742","OGHJCHFL_02143"
"gpx1","","Hydroperoxy fatty acid reductase gpx1","8","8","1","1","5469","","","","533","533","533","NLLKMJFC_00436","HDAOFKCF_00437","HMFJPACF_00409","EPEFIPDD_00410","MPDNCGJB_00413","PEKAAFEB_00062","IEBEDNFC_00411","OGHJCHFL_00886"
"group_5015","","Carbonic anhydrase","8","8","1","1","2110","","","","518","518","518","NLLKMJFC_02320","HDAOFKCF_02322","HMFJPACF_02454","EPEFIPDD_02401","MPDNCGJB_02402","PEKAAFEB_01997","IEBEDNFC_02395","OGHJCHFL_02760"
"mrdB_1","","Peptidoglycan glycosyltransferase MrdB","8","8","1","1","2632","","","","1229","1229","1229","NLLKMJFC_01887","HDAOFKCF_01889","HMFJPACF_01991","EPEFIPDD_01936","MPDNCGJB_01938","PEKAAFEB_01518","IEBEDNFC_01885","OGHJCHFL_02291"
"group_5017","","hypothetical protein","8","8","1","1","5282","","","","347","347","347","NLLKMJFC_00258","HDAOFKCF_00259","HMFJPACF_00245","EPEFIPDD_00246","MPDNCGJB_00248","PEKAAFEB_03814","IEBEDNFC_00243","OGHJCHFL_00710"
"rimM","","Ribosome maturation factor RimM","8","8","1","1","6580","","","","542","542","542","NLLKMJFC_01212","HDAOFKCF_01214","HMFJPACF_01261","EPEFIPDD_01279","MPDNCGJB_01283","PEKAAFEB_00928","IEBEDNFC_01149","OGHJCHFL_01664"
"group_5019","","hypothetical protein","8","8","1","1","5421","","","","1538","1538","1538","NLLKMJFC_00390","HDAOFKCF_00391","HMFJPACF_00363","EPEFIPDD_00363","MPDNCGJB_00365","PEKAAFEB_00016","IEBEDNFC_00365","OGHJCHFL_00839"
"estZ","","Ethyl acetate hydrolase","8","8","1","1","5327","","","","923","923","923","NLLKMJFC_00304","HDAOFKCF_00305","HMFJPACF_00288","EPEFIPDD_00289","MPDNCGJB_00291","PEKAAFEB_03859","IEBEDNFC_00285","OGHJCHFL_00755"
"nrdB_1","","Ribonucleoside-diphosphate reductase subunit beta","8","8","1","1","6547","","","","974","974","974","NLLKMJFC_01184","HDAOFKCF_01186","HMFJPACF_01231","EPEFIPDD_01249","MPDNCGJB_01253","PEKAAFEB_00899","IEBEDNFC_01122","OGHJCHFL_01637"
"group_5021","","hypothetical protein","8","8","1","1","6701","","","","470","470","470","NLLKMJFC_01323","HDAOFKCF_01325","HMFJPACF_01377","EPEFIPDD_01395","MPDNCGJB_01398","PEKAAFEB_01044","IEBEDNFC_01263","OGHJCHFL_01774"
"group_5022","","hypothetical protein","8","8","1","1","535","","","","197","197","197","NLLKMJFC_01026","HDAOFKCF_01029","HMFJPACF_01069","EPEFIPDD_01086","MPDNCGJB_01089","PEKAAFEB_00736","IEBEDNFC_00948","OGHJCHFL_01487"
"rplO","","Large ribosomal subunit protein uL15","8","8","1","1","6005","","","","449","449","449","NLLKMJFC_01504","HDAOFKCF_01506","HMFJPACF_01606","EPEFIPDD_01549","MPDNCGJB_01552","PEKAAFEB_01199","IEBEDNFC_01490","OGHJCHFL_01954"
"atpD","","ATP synthase subunit beta","8","8","1","1","5464","","","","1508","1508","1508","NLLKMJFC_00431","HDAOFKCF_00432","HMFJPACF_00404","EPEFIPDD_00405","MPDNCGJB_00408","PEKAAFEB_00057","IEBEDNFC_00406","OGHJCHFL_00880"
"rplI","","Large ribosomal subunit protein bL9","8","8","1","1","5304","","","","500","500","500","NLLKMJFC_00280","HDAOFKCF_00281","HMFJPACF_00267","EPEFIPDD_00268","MPDNCGJB_00270","PEKAAFEB_03836","IEBEDNFC_00265","OGHJCHFL_00733"
"ndhC","","NAD(P)H-quinone oxidoreductase subunit 3","8","8","1","1","1699","","","","365","365","365","NLLKMJFC_02604","HDAOFKCF_02606","HMFJPACF_02784","EPEFIPDD_02729","MPDNCGJB_02730","PEKAAFEB_02277","IEBEDNFC_02722","OGHJCHFL_03035"
"mntR","","HTH-type transcriptional regulator MntR","8","8","1","1","5216","","","","653","653","653","NLLKMJFC_00200","HDAOFKCF_00201","HMFJPACF_00183","EPEFIPDD_00184","MPDNCGJB_00185","PEKAAFEB_03753","IEBEDNFC_00184","OGHJCHFL_00647"
"group_5028","","hypothetical protein","8","8","1","1","2577","","","","692","692","692","NLLKMJFC_01914","HDAOFKCF_01916","HMFJPACF_02037","EPEFIPDD_01982","MPDNCGJB_01984","PEKAAFEB_01550","IEBEDNFC_01932","OGHJCHFL_02330"
"group_5029","","hypothetical protein","8","8","1","1","3886","","","","1037","1037","1037","NLLKMJFC_03226","HDAOFKCF_03278","HMFJPACF_03388","EPEFIPDD_03331","MPDNCGJB_03332","PEKAAFEB_03004","IEBEDNFC_03381","OGHJCHFL_03732"
"spxH","","ClpXP adapter protein SpxH","8","8","1","1","5342","","","","929","929","929","NLLKMJFC_00319","HDAOFKCF_00320","HMFJPACF_00303","EPEFIPDD_00303","MPDNCGJB_00305","PEKAAFEB_03873","IEBEDNFC_00299","OGHJCHFL_00770"
"gdhB","","NAD-specific glutamate dehydrogenase","8","8","1","1","2435","","","","1364","1364","1364","NLLKMJFC_02045","HDAOFKCF_02047","HMFJPACF_02169","EPEFIPDD_02114","MPDNCGJB_02116","PEKAAFEB_01681","IEBEDNFC_02066","OGHJCHFL_02463"
"rplA","","Large ribosomal subunit protein uL1","8","8","1","1","2148","","","","692","692","692","NLLKMJFC_02292","HDAOFKCF_02294","HMFJPACF_02421","EPEFIPDD_02368","MPDNCGJB_02369","PEKAAFEB_01960","IEBEDNFC_02365","OGHJCHFL_02728"
"uvrY_3","","Response regulator UvrY","8","8","1","1","3730","","","","671","671","671","NLLKMJFC_03275","HDAOFKCF_03329","HMFJPACF_03441","EPEFIPDD_03418","MPDNCGJB_03420","PEKAAFEB_03055","IEBEDNFC_03510","OGHJCHFL_03783"
"rplQ","","Large ribosomal subunit protein bL17","8","8","1","1","6013","","","","512","512","512","NLLKMJFC_01497","HDAOFKCF_01499","HMFJPACF_01599","EPEFIPDD_01542","MPDNCGJB_01545","PEKAAFEB_01192","IEBEDNFC_01483","OGHJCHFL_01947"
"bipA_2","","Large ribosomal subunit assembly factor BipA","8","8","1","1","4961","","","","1805","1805","1805","NLLKMJFC_03921","HDAOFKCF_03938","HMFJPACF_03941","EPEFIPDD_03918","MPDNCGJB_03919","PEKAAFEB_03524","IEBEDNFC_04068","OGHJCHFL_00417"
"ysdC","","Putative aminopeptidase YsdC","8","8","1","1","3345","","","","1073","1073","1073","NLLKMJFC_03719","HDAOFKCF_03775","HMFJPACF_03771","EPEFIPDD_03747","MPDNCGJB_03748","PEKAAFEB_03401","IEBEDNFC_03861","OGHJCHFL_00287"
"yrrK","","Putative pre-16S rRNA nuclease","8","8","1","1","1727","","","","410","410","410","NLLKMJFC_02577","HDAOFKCF_02579","HMFJPACF_02757","EPEFIPDD_02702","MPDNCGJB_02703","PEKAAFEB_02250","IEBEDNFC_02695","OGHJCHFL_03008"
"lpxC","","UDP-3-O-acyl-N-acetylglucosamine deacetylase","8","8","1","1","2790","","","","1397","1397","1397","NLLKMJFC_00754","HDAOFKCF_00755","HMFJPACF_00641","EPEFIPDD_00642","MPDNCGJB_00645","PEKAAFEB_00288","IEBEDNFC_00637","OGHJCHFL_01194"
"apt","","Adenine phosphoribosyltransferase","8","8","1","1","2392","","","","536","536","536","NLLKMJFC_02078","HDAOFKCF_02080","HMFJPACF_02201","EPEFIPDD_02147","MPDNCGJB_02149","PEKAAFEB_01743","IEBEDNFC_02099","OGHJCHFL_02515"
"group_5039","","hypothetical protein","8","8","1","1","3910","","","","293","293","293","NLLKMJFC_03208","HDAOFKCF_03260","HMFJPACF_03363","EPEFIPDD_03307","MPDNCGJB_03308","PEKAAFEB_02980","IEBEDNFC_03358","OGHJCHFL_03713"
"dagK","","Diacylglycerol kinase","8","8","1","1","5345","","","","851","887","855","NLLKMJFC_00321","HDAOFKCF_00322","HMFJPACF_00305","EPEFIPDD_00305","MPDNCGJB_00307","PEKAAFEB_03875","IEBEDNFC_00301","OGHJCHFL_00773"
"gltA2","","Citrate synthase 1","8","8","1","1","6016","","","","1286","1286","1286","NLLKMJFC_01493","HDAOFKCF_01495","HMFJPACF_01596","EPEFIPDD_01539","MPDNCGJB_01542","PEKAAFEB_01189","IEBEDNFC_01477","OGHJCHFL_01944"
"rbfA","","30S ribosome-binding factor","8","8","1","1","1050","","","","359","359","359","NLLKMJFC_00902","HDAOFKCF_00904","HMFJPACF_00892","EPEFIPDD_00908","MPDNCGJB_00912","PEKAAFEB_00499","IEBEDNFC_00823","OGHJCHFL_01374"
"coaD","","Phosphopantetheine adenylyltransferase","8","8","1","1","6604","","","","458","458","458","NLLKMJFC_01234","HDAOFKCF_01236","HMFJPACF_01283","EPEFIPDD_01301","MPDNCGJB_01305","PEKAAFEB_00950","IEBEDNFC_01172","OGHJCHFL_01686"
"rsmG","","Ribosomal RNA small subunit methyltransferase G","8","8","1","1","5102","","","","629","629","629","NLLKMJFC_00085","HDAOFKCF_00086","HMFJPACF_00084","EPEFIPDD_00085","MPDNCGJB_00086","PEKAAFEB_03646","IEBEDNFC_00082","OGHJCHFL_00539"
"lrp_3","","Leucine-responsive regulatory protein","8","8","1","1","3267","","","","461","461","461","NLLKMJFC_03646","HDAOFKCF_03702","HMFJPACF_03698","EPEFIPDD_03674","MPDNCGJB_03675","PEKAAFEB_03329","IEBEDNFC_03787","OGHJCHFL_00217"
"rpsH","","Small ribosomal subunit protein uS8","8","8","1","1","6000","","","","398","398","398","NLLKMJFC_01509","HDAOFKCF_01511","HMFJPACF_01611","EPEFIPDD_01554","MPDNCGJB_01557","PEKAAFEB_01204","IEBEDNFC_01495","OGHJCHFL_01959"
"ilvE","","putative branched-chain-amino-acid aminotransferase","8","8","1","1","3350","","","","1073","1073","1073","NLLKMJFC_03724","HDAOFKCF_03780","HMFJPACF_03776","EPEFIPDD_03752","MPDNCGJB_03753","PEKAAFEB_03406","IEBEDNFC_03866","OGHJCHFL_00292"
"tolQ_2","","Tol-Pal system protein TolQ","8","8","1","1","2225","","","","872","872","872","NLLKMJFC_02212","HDAOFKCF_02214","HMFJPACF_02339","EPEFIPDD_02286","MPDNCGJB_02287","PEKAAFEB_01878","IEBEDNFC_02283","OGHJCHFL_02649"
"exoA","","Exodeoxyribonuclease","8","8","1","1","1798","","","","764","764","764","NLLKMJFC_02549","HDAOFKCF_02551","HMFJPACF_02688","EPEFIPDD_02634","MPDNCGJB_02635","PEKAAFEB_02222","IEBEDNFC_02668","OGHJCHFL_02980"
"tadA_1","","tRNA-specific adenosine deaminase","8","8","1","1","5858","","","","440","440","440","NLLKMJFC_01704","HDAOFKCF_01706","HMFJPACF_01747","EPEFIPDD_01735","MPDNCGJB_01737","PEKAAFEB_01335","IEBEDNFC_01699","OGHJCHFL_02091"
"group_505","","hypothetical protein","8","8","1","1","5349","","","","818","818","818","NLLKMJFC_00323","HDAOFKCF_00324","HMFJPACF_00307","EPEFIPDD_00307","MPDNCGJB_00309","PEKAAFEB_03877","IEBEDNFC_00303","OGHJCHFL_00775"
"group_5050","","hypothetical protein","8","8","1","1","952","","","","905","905","905","NLLKMJFC_00810","HDAOFKCF_00812","HMFJPACF_00814","EPEFIPDD_00816","MPDNCGJB_00820","PEKAAFEB_00414","IEBEDNFC_00738","OGHJCHFL_01287"
"bfmBAB","","2-oxoisovalerate dehydrogenase subunit beta","8","8","1","1","2067","","","","983","983","983","NLLKMJFC_02362","HDAOFKCF_02364","HMFJPACF_02497","EPEFIPDD_02443","MPDNCGJB_02445","PEKAAFEB_02037","IEBEDNFC_02438","OGHJCHFL_02803"
"group_5052","","hypothetical protein","8","8","1","1","2083","","","","230","230","230","NLLKMJFC_02346","HDAOFKCF_02348","HMFJPACF_02481","EPEFIPDD_02427","MPDNCGJB_02429","PEKAAFEB_02023","IEBEDNFC_02421","OGHJCHFL_02786"
"nusA","","Transcription termination/antitermination protein NusA","8","8","1","1","5905","","","","1247","1247","1247","NLLKMJFC_01653","HDAOFKCF_01655","HMFJPACF_01705","EPEFIPDD_01649","MPDNCGJB_01651","PEKAAFEB_01293","IEBEDNFC_01658","OGHJCHFL_02047"
"purA","","Adenylosuccinate synthetase","8","8","1","1","3852","","","","1286","1286","1286","NLLKMJFC_03257","HDAOFKCF_03309","HMFJPACF_03419","EPEFIPDD_03361","MPDNCGJB_03363","PEKAAFEB_03035","IEBEDNFC_03413","OGHJCHFL_03763"
"group_5055","","hypothetical protein","8","8","1","1","4586","","","","338","338","338","NLLKMJFC_02849","HDAOFKCF_02851","HMFJPACF_03040","EPEFIPDD_02986","MPDNCGJB_02987","PEKAAFEB_02650","IEBEDNFC_03041","OGHJCHFL_03280"
"group_5056","","hypothetical protein","8","8","1","1","2560","","","","236","236","236","NLLKMJFC_01931","HDAOFKCF_01933","HMFJPACF_02055","EPEFIPDD_02000","MPDNCGJB_02002","PEKAAFEB_01567","IEBEDNFC_01949","OGHJCHFL_02347"
"group_5057","","hypothetical protein","8","8","1","1","2609","","","","464","464","464","NLLKMJFC_01892","HDAOFKCF_01894","HMFJPACF_02007","EPEFIPDD_01952","MPDNCGJB_01954","PEKAAFEB_01523","IEBEDNFC_01901","OGHJCHFL_02296"
"prs","","Ribose-phosphate pyrophosphokinase","8","8","1","1","5736","","","","941","941","941","NLLKMJFC_01823","HDAOFKCF_01825","HMFJPACF_01864","EPEFIPDD_01853","MPDNCGJB_01855","PEKAAFEB_01453","IEBEDNFC_01819","OGHJCHFL_02218"
"pyrH","","Uridylate kinase","8","8","1","1","1677","","","","704","704","704","NLLKMJFC_02626","HDAOFKCF_02628","HMFJPACF_02806","EPEFIPDD_02751","MPDNCGJB_02751","PEKAAFEB_02298","IEBEDNFC_02744","OGHJCHFL_03059"
"group_5060","","hypothetical protein","8","8","1","1","2409","","","","494","494","494","NLLKMJFC_02063","HDAOFKCF_02065","HMFJPACF_02187","EPEFIPDD_02132","MPDNCGJB_02134","PEKAAFEB_01728","IEBEDNFC_02084","OGHJCHFL_02500"
"fusA","","Elongation factor G","8","8","1","1","5967","","","","2117","2117","2117","NLLKMJFC_01539","HDAOFKCF_01541","HMFJPACF_01644","EPEFIPDD_01587","MPDNCGJB_01590","PEKAAFEB_01236","IEBEDNFC_01526","OGHJCHFL_01990"
"group_5062","","hypothetical protein","8","8","1","1","2432","","","","1121","1121","1121","NLLKMJFC_02048","HDAOFKCF_02050","HMFJPACF_02172","EPEFIPDD_02117","MPDNCGJB_02119","PEKAAFEB_01684","IEBEDNFC_02069","OGHJCHFL_02466"
"group_5063","","hypothetical protein","8","8","1","1","2535","","","","182","182","182","NLLKMJFC_01955","HDAOFKCF_01957","HMFJPACF_02079","EPEFIPDD_02024","MPDNCGJB_02026","PEKAAFEB_01591","IEBEDNFC_01973","OGHJCHFL_02372"
"metN_1","","Methionine import ATP-binding protein MetN","8","8","1","1","5797","","","","773","773","773","NLLKMJFC_01764","HDAOFKCF_01766","HMFJPACF_01805","EPEFIPDD_01793","MPDNCGJB_01795","PEKAAFEB_01393","IEBEDNFC_01758","OGHJCHFL_02159"
"group_5065","","tRNA-Ser(gct)","8","8","1","1","4248","","","","85","85","85","NLLKMJFC_02911","HDAOFKCF_02963","HMFJPACF_03103","EPEFIPDD_03049","MPDNCGJB_03050","PEKAAFEB_02727","IEBEDNFC_03108","OGHJCHFL_03454"
"adhc1","","NADP-dependent alcohol dehydrogenase C 1","8","8","1","1","3660","","","","1046","1046","1046","NLLKMJFC_03328","HDAOFKCF_03382","HMFJPACF_03489","EPEFIPDD_03466","MPDNCGJB_03468","PEKAAFEB_03105","IEBEDNFC_03577","OGHJCHFL_00019"
"speA","","Biosynthetic arginine decarboxylase","8","8","1","1","6299","","","","1391","1391","1391","NLLKMJFC_01114","HDAOFKCF_01116","HMFJPACF_01161","EPEFIPDD_01178","MPDNCGJB_01182","PEKAAFEB_00827","IEBEDNFC_01051","OGHJCHFL_01575"
"ruvC","","Crossover junction endodeoxyribonuclease RuvC","8","8","1","1","2315","","","","554","554","554","NLLKMJFC_02156","HDAOFKCF_02158","HMFJPACF_02282","EPEFIPDD_02228","MPDNCGJB_02230","PEKAAFEB_01824","IEBEDNFC_02177","OGHJCHFL_02594"
"group_5069","","hypothetical protein","8","8","1","1","1741","","","","398","398","398","NLLKMJFC_02564","HDAOFKCF_02566","HMFJPACF_02744","EPEFIPDD_02689","MPDNCGJB_02690","PEKAAFEB_02236","IEBEDNFC_02682","OGHJCHFL_02995"
"ssb","","Single-stranded DNA-binding protein 1","8","8","1","1","5352","","","","323","323","323","NLLKMJFC_00326","HDAOFKCF_00327","HMFJPACF_00310","EPEFIPDD_00310","MPDNCGJB_00312","PEKAAFEB_03880","IEBEDNFC_00306","OGHJCHFL_00778"
"accD1","","Biotin-dependent 3-methylcrotonyl-coenzyme A carboxylase beta1 subunit","8","8","1","1","2169","","","","1628","1628","1628","NLLKMJFC_02268","HDAOFKCF_02270","HMFJPACF_02397","EPEFIPDD_02344","MPDNCGJB_02345","PEKAAFEB_01936","IEBEDNFC_02341","OGHJCHFL_02705"
"ahcY","","Adenosylhomocysteinase","8","8","1","1","3232","","","","1313","1313","1313","NLLKMJFC_03613","HDAOFKCF_03669","HMFJPACF_03663","EPEFIPDD_03640","MPDNCGJB_03641","PEKAAFEB_03295","IEBEDNFC_03755","OGHJCHFL_00184"
"rimI_3","","[Ribosomal protein bS18]-alanine N-acetyltransferase","8","8","1","1","1032","","","","506","506","506","NLLKMJFC_00889","HDAOFKCF_00891","HMFJPACF_00879","EPEFIPDD_00895","MPDNCGJB_00899","PEKAAFEB_00485","IEBEDNFC_00808","OGHJCHFL_01361"
"group_5073","","Nucleotide-binding protein","8","8","1","1","5875","","","","401","401","401","NLLKMJFC_01687","HDAOFKCF_01689","HMFJPACF_01730","EPEFIPDD_01718","MPDNCGJB_01720","PEKAAFEB_01318","IEBEDNFC_01682","OGHJCHFL_02074"
"rpsC","","Small ribosomal subunit protein uS3","8","8","1","1","5992","","","","728","728","728","NLLKMJFC_01517","HDAOFKCF_01519","HMFJPACF_01619","EPEFIPDD_01562","MPDNCGJB_01565","PEKAAFEB_01212","IEBEDNFC_01503","OGHJCHFL_01967"
"group_5075","","hypothetical protein","8","8","1","1","2588","","","","560","560","560","NLLKMJFC_01903","HDAOFKCF_01905","HMFJPACF_02026","EPEFIPDD_01971","MPDNCGJB_01973","PEKAAFEB_01539","IEBEDNFC_01921","OGHJCHFL_02319"
"group_5076","","hypothetical protein","8","8","1","1","1926","","","","608","608","608","NLLKMJFC_02466","HDAOFKCF_02468","HMFJPACF_02605","EPEFIPDD_02551","MPDNCGJB_02552","PEKAAFEB_02139","IEBEDNFC_02538","OGHJCHFL_02899"
"group_5077","","hypothetical protein","8","8","1","1","1609","","","","488","488","488","NLLKMJFC_02678","HDAOFKCF_02680","HMFJPACF_02860","EPEFIPDD_02805","MPDNCGJB_02805","PEKAAFEB_02348","IEBEDNFC_02798","OGHJCHFL_03113"
"group_5078","","Aspartate ammonia-lyase","8","8","1","1","4246","","","","1403","1403","1403","NLLKMJFC_02913","HDAOFKCF_02965","HMFJPACF_03105","EPEFIPDD_03051","MPDNCGJB_03052","PEKAAFEB_02729","IEBEDNFC_03110","OGHJCHFL_03456"
"group_5079","","hypothetical protein","8","8","1","1","2076","","","","179","179","179","NLLKMJFC_02353","HDAOFKCF_02355","HMFJPACF_02488","EPEFIPDD_02434","MPDNCGJB_02436","PEKAAFEB_02030","IEBEDNFC_02429","OGHJCHFL_02794"
"group_508","","hypothetical protein","8","8","1","1","5353","","","","227","344","314","NLLKMJFC_00327","HDAOFKCF_00328","HMFJPACF_00311","EPEFIPDD_00311","MPDNCGJB_00313","PEKAAFEB_03881","IEBEDNFC_00307","OGHJCHFL_00779"
"atpE","","ATP synthase subunit c","8","8","1","1","1693","","","","209","209","209","NLLKMJFC_02610","HDAOFKCF_02612","HMFJPACF_02790","EPEFIPDD_02735","MPDNCGJB_02736","PEKAAFEB_02283","IEBEDNFC_02728","OGHJCHFL_03041"
"group_5081","","tRNA-Cys(gca)","8","8","1","1","2137","","","","71","71","71","NLLKMJFC_02303","HDAOFKCF_02305","HMFJPACF_02432","EPEFIPDD_02379","MPDNCGJB_02380","PEKAAFEB_01971","IEBEDNFC_02376","OGHJCHFL_02739"
"group_5082","","hypothetical protein","8","8","1","1","2158","","","","290","290","290","NLLKMJFC_02279","HDAOFKCF_02281","HMFJPACF_02408","EPEFIPDD_02355","MPDNCGJB_02356","PEKAAFEB_01947","IEBEDNFC_02352","OGHJCHFL_02715"
"rplM","","Large ribosomal subunit protein uL13","8","8","1","1","2295","","","","455","455","455","NLLKMJFC_02170","HDAOFKCF_02172","HMFJPACF_02298","EPEFIPDD_02244","MPDNCGJB_02246","PEKAAFEB_01838","IEBEDNFC_02193","OGHJCHFL_02608"
"rsmH","","Ribosomal RNA small subunit methyltransferase H","8","8","1","1","2485","","","","893","893","893","NLLKMJFC_01998","HDAOFKCF_02000","HMFJPACF_02123","EPEFIPDD_02068","MPDNCGJB_02070","PEKAAFEB_01634","IEBEDNFC_02018","OGHJCHFL_02415"
"group_5085","","hypothetical protein","8","8","1","1","2760","","","","1427","1427","1427","NLLKMJFC_00783","HDAOFKCF_00784","HMFJPACF_00670","EPEFIPDD_00671","MPDNCGJB_00674","PEKAAFEB_00317","IEBEDNFC_00666","OGHJCHFL_01223"
"gdx_2","","Guanidinium exporter","8","8","1","1","3630","","","","326","326","326","NLLKMJFC_03351","HDAOFKCF_03405","HMFJPACF_03515","EPEFIPDD_03492","MPDNCGJB_03493","PEKAAFEB_03130","IEBEDNFC_03595","OGHJCHFL_00039"
"group_5087","","hypothetical protein","8","8","1","1","5306","","","","176","176","176","NLLKMJFC_00282","HDAOFKCF_00283","HMFJPACF_00269","EPEFIPDD_00270","MPDNCGJB_00272","PEKAAFEB_03838","IEBEDNFC_00267","OGHJCHFL_00735"
"clpP","","ATP-dependent Clp protease proteolytic subunit","8","8","1","1","4205","","","","683","683","683","NLLKMJFC_02952","HDAOFKCF_03004","HMFJPACF_03147","EPEFIPDD_03093","MPDNCGJB_03094","PEKAAFEB_02769","IEBEDNFC_03149","OGHJCHFL_03496"
"gyrB_2","","DNA gyrase subunit B","8","8","1","1","5160","","","","1934","1934","1934","NLLKMJFC_00149","HDAOFKCF_00150","HMFJPACF_00135","EPEFIPDD_00136","MPDNCGJB_00137","PEKAAFEB_03704","IEBEDNFC_00132","OGHJCHFL_00597"
"yhgF","","Protein YhgF","8","8","1","1","5363","","","","2123","2261","2192","NLLKMJFC_00336","HDAOFKCF_00337","HMFJPACF_00318","EPEFIPDD_00318","MPDNCGJB_00320","PEKAAFEB_03888","IEBEDNFC_00316","OGHJCHFL_00787"
"menB_1","","1,4-dihydroxy-2-naphthoyl-CoA synthase","8","8","1","1","5480","","","","836","836","836","NLLKMJFC_00448","HDAOFKCF_00449","HMFJPACF_00421","EPEFIPDD_00422","MPDNCGJB_00425","PEKAAFEB_00074","IEBEDNFC_00423","OGHJCHFL_00897"
"dctA","","C4-dicarboxylate transport protein","8","8","1","1","1866","","","","1250","1250","1250","NLLKMJFC_02525","HDAOFKCF_02527","HMFJPACF_02664","EPEFIPDD_02610","MPDNCGJB_02611","PEKAAFEB_02198","IEBEDNFC_02596","OGHJCHFL_02956"
"acpP","","Acyl carrier protein","8","8","1","1","2178","","","","239","239","239","NLLKMJFC_02259","HDAOFKCF_02261","HMFJPACF_02388","EPEFIPDD_02335","MPDNCGJB_02336","PEKAAFEB_01927","IEBEDNFC_02329","OGHJCHFL_02696"
"fadH","","putative 2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing]","8","8","1","1","6692","","","","881","881","881","NLLKMJFC_01314","HDAOFKCF_01316","HMFJPACF_01368","EPEFIPDD_01386","MPDNCGJB_01389","PEKAAFEB_01035","IEBEDNFC_01254","OGHJCHFL_01765"
"tsaD","","tRNA N6-adenosine threonylcarbamoyltransferase","8","8","1","1","497","","","","1016","1016","1016","NLLKMJFC_01060","HDAOFKCF_01063","HMFJPACF_01104","EPEFIPDD_01121","MPDNCGJB_01124","PEKAAFEB_00771","IEBEDNFC_00983","OGHJCHFL_01523"
"group_5095","","hypothetical protein","8","8","1","1","2369","","","","578","578","578","NLLKMJFC_02100","HDAOFKCF_02102","HMFJPACF_02225","EPEFIPDD_02171","MPDNCGJB_02173","PEKAAFEB_01767","IEBEDNFC_02121","OGHJCHFL_02537"
"group_5096","","hypothetical protein","8","8","1","1","4021","","","","92","92","92","NLLKMJFC_03110","HDAOFKCF_03162","HMFJPACF_03263","EPEFIPDD_03208","MPDNCGJB_03209","PEKAAFEB_02883","IEBEDNFC_03261","OGHJCHFL_03613"
